cat1,cat_id,trade_rows,sensitivity_units,rank,trade_row_share_pct,cumulative_trade_row_share_pct,segment
28,50023532,15,24,268,0.05004838010076407,93.51372993894084,Long tail: remaining 20% of trade rows
38,50018829,15,20,269,0.05004838010076407,93.5637783190416,Long tail: remaining 20% of trade rows
38,50018830,15,27,270,0.05004838010076407,93.61382669914236,Long tail: remaining 20% of trade rows
38,121484040,15,77,271,0.05004838010076407,93.66387507924313,Long tail: remaining 20% of trade rows
50014815,50001748,15,112,272,0.05004838010076407,93.71392345934389,Long tail: remaining 20% of trade rows
50014815,50008726,15,15,273,0.05004838010076407,93.76397183944465,Long tail: remaining 20% of trade rows
50014815,121456031,15,18,274,0.05004838010076407,93.81402021954541,Long tail: remaining 20% of trade rows
50022520,50006246,15,15,275,0.05004838010076407,93.86406859964617,Long tail: remaining 20% of trade rows
50022520,50014828,15,15,276,0.05004838010076407,93.91411697974694,Long tail: remaining 20% of trade rows
50022520,121414042,15,16,277,0.05004838010076407,93.9641653598477,Long tail: remaining 20% of trade rows
28,50016037,14,29,278,0.0467118214273798,94.01087718127508,Long tail: remaining 20% of trade rows
28,50016102,14,15,279,0.0467118214273798,94.05758900270246,Long tail: remaining 20% of trade rows
28,50023807,14,46,280,0.0467118214273798,94.10430082412984,Long tail: remaining 20% of trade rows
28,50024153,14,14,281,0.0467118214273798,94.15101264555722,Long tail: remaining 20% of trade rows
50008168,121472022,14,21,282,0.0467118214273798,94.1977244669846,Long tail: remaining 20% of trade rows
50022520,122474019,14,14,283,0.0467118214273798,94.24443628841198,Long tail: remaining 20% of trade rows
28,50008811,13,16,284,0.04337526275399553,94.28781155116597,Long tail: remaining 20% of trade rows
28,50023598,13,13,285,0.04337526275399553,94.33118681391997,Long tail: remaining 20% of trade rows
50008168,121366024,13,13,286,0.04337526275399553,94.37456207667397,Long tail: remaining 20% of trade rows
50014815,50014864,13,13,287,0.04337526275399553,94.41793733942797,Long tail: remaining 20% of trade rows
